ProductKey,Supplier,HierarchyLevel1,HierarchyLevel2,DIorDOM,Seasonal
33279,4367,70060,44977,DOM,False
54429,35586,70060,44977,DI,False
53903,4367,70060,44977,DOM,False
37677,4367,70060,44977,DOM,False
31753,4367,70060,44977,DOM,False
68170,4367,70060,44977,DOM,False
29897,4367,70060,44977,DOM,False
71711,4367,70060,44977,DOM,False
36413,4367,70060,44977,DOM,False
32909,35586,70060,44977,DI,False
42238,4367,70060,44977,DOM,False
2174,4367,70060,44977,DOM,False
20782,4367,70060,44977,DOM,False
44559,4367,70060,44977,DOM,False
68926,35173,70060,44977,DOM,False
1439,35173,70060,44977,DOM,False
69647,35173,70060,44977,DOM,False
79097,35173,70060,44977,DOM,False
43709,35173,70060,44977,DOM,False
42534,35173,70060,44977,DOM,False
7654,35173,70060,56920,DOM,False
11962,7225,70060,56920,DOM,False
18893,7225,70060,56920,DOM,False
28842,7225,70060,56920,DOM,False
40640,35173,70060,56920,DOM,False
58356,51981,70060,56920,DI,False
32671,51981,70060,56920,DI,False
1486,21558,70060,56920,DI,False
39648,73512,70060,56920,DI,False
45628,4367,70060,56920,DOM,False
60370,73512,70060,56920,DI,False
70146,51981,70060,56920,DI,False
45987,35173,70060,44977,DOM,False
4687,7225,70060,56920,DOM,False
